M, N, Num_Traitors, Channel_Length, Attenuation, Abort_Count, Correct_Count, Incorrect_Count
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,1,2,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,2,1,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,0,0,3
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,1,2,0
1,5,1,1,2e-05,0,0,3
1,5,1,1,2e-05,1,2,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,1,0,2
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,3,0,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,0,3,0
1,5,1,1,2e-05,2,0,1
1,5,1,1,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,0,1
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,1,0,2
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,0,2
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,1,2,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,0,3,0
1,5,1,16,2e-05,3,0,0
1,5,1,16,2e-05,2,1,0
1,5,1,16,2e-05,0,3,0
